Region,Market,Year ending December 2018,Year-ending-December-2019,2019 change,Year-ending-December-2020,2020 change,Year ending December 2018,Year ending December 2019,2019 change,Year ending December 2020,2020 change,Year ending December 2018,Year ending December 2019,2019 change,Year ending December 2020,2020 change
Brisbane,Total,"25,050",31058,24%,20550,-34%,"50,327","51,545",2%,"20,322",-61%,"9,094","10,394",14%,"4,969",-52%
Bundaberg,International,47,43,-9%,9,-79%,947,890,-6%,176,-80%,47,29,-39%,4,-85%
Bundaberg,Domestic overnight,673,760,13%,580,-24%,"2,105","2,670",27%,"1,736",-35%,296,350,18%,242,-31%
Bundaberg,Domestic day,754,931,23%,709,-24%,-,-,-100%,-,-100%,106,128,21%,123,-4%
Bundaberg,Total,"1,475",1734,18%,1298,-25%,"3,052","3,561",17%,"1,913",-46%,450,507,13%,369,-27%
Canberra,International,252,270,7%,39,-85%,"5,838","5,860",0%,964,-84%,686,565,-18%,111,-80%
Canberra,Domestic overnight,"2,767",3203,16%,1657,-48%,"7,391","8,739",18%,"4,803",-45%,"1,815","1,861",3%,978,-48%
Canberra,Domestic day,"2,235",2654,19%,1725,-35%,-,-,-100%,-,-100%,343,395,15%,201,-49%
Canberra,Total,"5,254",6127,17%,3422,-44%,"13,229","14,599",10%,"5,767",-61%,"2,844","2,822",-1%,"1,290",-54%
Capital Country,International,36,33,-9%,5,-84%,497,481,-3%,123,-74%,26,22,-15%,11,-49%
Capital Country,Domestic overnight,"1,513",1734,15%,1178,-32%,"3,247","3,801",17%,"3,100",-19%,498,634,27%,422,-33%
Capital Country,Domestic day,"3,099",3672,19%,2535,-31%,-,-,-100%,-,-100%,308,314,2%,326,4%
Capital Country,Total,"4,648",5439,17%,3718,-32%,"3,744","4,282",14%,"3,223",-25%,832,971,17%,759,-22%
Capricorn,International,71,69,-2%,10,-86%,541,948,75%,46,-95%,37,51,37%,2,-97%
Capricorn,Domestic overnight,"1,166",1164,0%,948,-19%,"4,586","4,509",-2%,"3,810",-16%,580,617,6%,421,-32%
Capricorn,Domestic day,"1,340",1506,12%,1431,-5%,-,-,-100%,-,-100%,193,286,48%,196,-31%
Capricorn,Total,"2,576",2739,6%,2389,-13%,"5,128","5,457",6%,"3,855",-29%,810,954,18%,618,-35%
Central Coast,International,69,63,-9%,13,-80%,851,779,-9%,232,-70%,52,50,-3%,8,-84%
Central Coast,Domestic overnight,"1,401",1939,38%,1515,-22%,"3,703","5,042",36%,"4,031",-20%,538,692,29%,598,-14%
Central Coast,Domestic day,"3,944",4987,27%,3224,-35%,-,-,-100%,-,-100%,329,375,14%,267,-29%
Central Coast,Total,"5,414",6989,29%,4752,-32%,"4,555","5,821",28%,"4,262",-27%,919,"1,117",22%,874,-22%
Central Highlands,International,42,47,12%,13,-73%,249,159,-36%,36,-77%,13,15,16%,1,-94%
Central Highlands,Domestic overnight,392,457,16%,292,-36%,926,"1,080",17%,766,-29%,112,147,32%,110,-25%
Central Highlands,Domestic day,385,514,33%,NP,NP,-,-,-100%,NP,NP,39,37,-4%,NP,NP
Central Highlands,Total,820,1018,24%,552,-46%,"1,175","1,240",6%,802,-35%,164,199,22%,131,-34%
Central Murray,International,15,14,-1%,NP,NP,377,348,-8%,NP,NP,15,20,40%,NP,NP
Central Murray,Domestic overnight,922,954,4%,458,-52%,"2,637","2,903",10%,"1,618",-44%,384,450,17%,223,-51%
Central Murray,Domestic day,"1,142",1036,-9%,732,-29%,-,-,-100%,-,-100%,114,102,-11%,75,-26%
Central Murray,Total,"2,078",2005,-4%,1192,-41%,"3,014","3,251",8%,"1,643",-50%,513,573,12%,299,-48%
Central NSW,International,43,42,-2%,7,-82%,915,682,-26%,112,-84%,40,32,-19%,6,-81%
Central NSW,Domestic overnight,"2,905",2831,-3%,2170,-23%,"8,008","7,155",-11%,"5,896",-18%,"1,223","1,290",6%,"1,161",-10%
Central NSW,Domestic day,"3,018",3771,25%,2426,-36%,-,-,-100%,-,-100%,450,635,41%,355,-44%
Central NSW,Total,"5,965",6643,11%,4603,-31%,"8,923","7,837",-12%,"6,008",-23%,"1,713","1,958",14%,"1,521",-22%
Clare Valley,International,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Clare Valley,Domestic overnight,176,199,13%,184,-8%,375,467,24%,599,28%,37,83,122%,97,17%
Clare Valley,Domestic day,265,NP,NP,NP,NP,-,NP,NP,NP,NP,23,NP,NP,NP,NP
Clare Valley,Total,444,545,23%,370,-32%,398,499,25%,600,20%,62,117,88%,119,1%
Darwin,International,123,137,11%,20,-85%,"1,812","1,595",-12%,414,-74%,154,136,-12%,28,-79%
Darwin,Domestic overnight,690,772,12%,307,-60%,"3,900","4,008",3%,"1,876",-53%,907,954,5%,352,-63%
Darwin,Domestic day,339,757,123%,457,-40%,-,-,-100%,-,-100%,49,87,76%,64,-26%
Darwin,Total,"1,153",1666,45%,784,-53%,"5,712","5,602",-2%,"2,290",-59%,"1,110","1,176",6%,444,-62%
Destination Perth,International,916,954,4%,212,-78%,"19,759","19,429",-2%,"5,088",-74%,"1,853","1,959",6%,472,-76%
Destination Perth,Domestic overnight,"4,514",4704,4%,3127,-34%,"15,895","15,555",-2%,"10,275",-34%,"3,559","3,903",10%,"1,976",-49%
Destination Perth,Domestic day,"13,653",16669,22%,12788,-23%,-,-,-100%,-,-100%,"1,227","1,572",28%,"1,453",-8%
Destination Perth,Total,"19,083",22327,17%,16127,-28%,"35,654","34,984",-2%,"15,363",-56%,"6,639","7,435",12%,"3,900",-48%
East Coast,International,70,67,-5%,23,-66%,238,186,-22%,67,-64%,23,21,-11%,24,16%
East Coast,Domestic overnight,491,511,4%,466,-9%,"1,353","1,442",7%,"1,588",10%,170,217,27%,242,12%
East Coast,Domestic day,345,356,3%,NP,NP,-,-,-100%,NP,NP,31,32,3%,NP,NP
East Coast,Total,906,934,3%,791,-15%,"1,591","1,628",2%,"1,655",2%,225,270,20%,295,9%
Eyre Peninsula,International,20,23,16%,NP,NP,88,182,106%,NP,NP,5,13,182%,NP,NP
Eyre Peninsula,Domestic overnight,407,560,38%,346,-38%,"1,838","2,115",15%,"1,510",-29%,276,406,47%,197,-51%
Eyre Peninsula,Domestic day,408,755,85%,413,-45%,-,-,-100%,-,-100%,106,130,23%,83,-36%
Eyre Peninsula,Total,835,1337,60%,763,-43%,"1,926","2,297",19%,"1,539",-33%,386,549,42%,283,-48%
Fleurieu Peninsula,International,25,32,29%,8,-74%,262,261,-1%,66,-75%,15,9,-39%,3,-70%
Fleurieu Peninsula,Domestic overnight,673,869,29%,867,0%,"2,022","2,531",25%,"2,352",-7%,219,290,32%,308,6%
Fleurieu Peninsula,Domestic day,"2,733",3545,30%,2408,-32%,-,-,-100%,-,-100%,221,260,17%,185,-29%
Fleurieu Peninsula,Total,"3,431",4446,30%,3283,-26%,"2,284","2,792",22%,"2,418",-13%,456,559,23%,496,-11%
Flinders Ranges and Outback,International,43,47,11%,NP,NP,252,251,0%,NP,NP,16,16,-1%,NP,NP
Flinders Ranges and Outback,Domestic overnight,713,882,24%,579,-34%,"3,319","3,653",10%,"2,472",-32%,351,425,21%,279,-34%
Flinders Ranges and Outback,Domestic day,605,685,13%,414,-40%,-,-,-100%,-,-100%,111,75,-33%,70,-7%
Flinders Ranges and Outback,Total,"1,361",1614,19%,1000,-38%,"3,571","3,905",9%,"2,501",-36%,479,516,8%,349,-32%
Fraser Coast,International,130,131,1%,26,-80%,510,627,23%,168,-73%,41,46,11%,11,-77%
Fraser Coast,Domestic overnight,755,767,2%,575,-25%,"3,079","3,066",0%,"1,905",-38%,435,412,-5%,326,-21%
Fraser Coast,Domestic day,834,935,12%,371,-60%,-,-,-100%,-,-100%,80,77,-4%,50,-35%
Fraser Coast,Total,"1,719",1833,7%,972,-47%,"3,589","3,693",3%,"2,073",-44%,556,535,-4%,387,-28%
Geelong and the Bellarine,International,56,63,12%,16,-74%,851,"1,482",74%,191,-87%,101,94,-7%,18,-81%
Geelong and the Bellarine,Domestic overnight,"1,412",1669,18%,936,-44%,"3,492","4,183",20%,"3,037",-27%,540,598,11%,393,-34%
Geelong and the Bellarine,Domestic day,"3,907",4696,20%,2509,-47%,-,-,-100%,-,-100%,348,442,27%,228,-48%
Geelong and the Bellarine,Total,"5,375",6428,20%,3462,-46%,"4,343","5,665",30%,"3,228",-43%,990,"1,134",15%,639,-44%
Gippsland,International,49,53,8%,12,-77%,545,535,-2%,110,-80%,44,26,-41%,6,-77%
Gippsland,Domestic overnight,"1,292",1436,11%,1126,-22%,"3,109","3,733",20%,"3,429",-8%,304,364,20%,321,-12%
Gippsland,Domestic day,"3,056",3323,9%,2164,-35%,-,-,-100%,-,-100%,244,337,38%,204,-40%
Gippsland,Total,"4,397",4812,9%,3302,-31%,"3,654","4,268",17%,"3,539",-17%,592,727,23%,531,-27%
Gladstone,International,58,59,3%,9,-84%,222,245,10%,32,-87%,22,18,-17%,2,-89%
Gladstone,Domestic overnight,407,563,38%,415,-26%,"1,383","1,869",35%,"1,498",-20%,268,231,-14%,308,34%
Gladstone,Domestic day,NP,478,NP,NP,NP,NP,-,NP,NP,NP,NP,66,NP,NP,NP
Gladstone,Total,876,1100,26%,755,-31%,"1,605","2,114",32%,"1,530",-28%,335,315,-6%,358,14%
Gold Coast,International,"1,047",1080,3%,173,-84%,"10,021","9,765",-3%,"2,348",-76%,"1,418","1,341",-5%,272,-80%
Gold Coast,Domestic overnight,"3,781",4202,11%,2222,-47%,"14,573","16,559",14%,"7,619",-54%,"3,505","3,691",5%,"1,854",-50%
Gold Coast,Domestic day,"7,647",8880,16%,6280,-29%,-,-,-100%,-,-100%,778,905,16%,595,-34%
Gold Coast,Total,"12,475",14162,14%,8674,-39%,"24,595","26,324",7%,"9,968",-62%,"5,701","5,937",4%,"2,721",-54%
Goulburn,International,21,18,-15%,NP,NP,546,661,21%,NP,NP,20,29,46%,NP,NP
Goulburn,Domestic overnight,714,690,-3%,545,-21%,"2,093","2,018",-4%,"1,390",-31%,156,206,32%,148,-28%
Goulburn,Domestic day,"1,559",2079,33%,1068,-49%,-,-,-100%,-,-100%,190,216,13%,109,-50%
Goulburn,Total,"2,294",2787,22%,1616,-42%,"2,639","2,679",2%,"1,467",-45%,366,451,23%,259,-43%
Great Ocean Road,International,239,243,2%,57,-77%,"1,060","1,088",3%,279,-74%,115,114,-1%,17,-85%
Great Ocean Road,Domestic overnight,"2,269",2776,22%,1604,-42%,"6,078","7,474",23%,"5,748",-23%,915,"1,094",20%,820,-25%
Great Ocean Road,Domestic day,"3,157",4019,27%,2224,-45%,-,-,-100%,-,-100%,327,368,12%,224,-39%
Great Ocean Road,Total,"5,665",7038,24%,3884,-45%,"7,138","8,562",20%,"6,027",-30%,"1,358","1,576",16%,"1,061",-33%
High Country,International,38,33,-13%,6,-82%,486,308,-37%,41,-87%,26,22,-17%,1,-96%
High Country,Domestic overnight,"1,927",2075,8%,835,-60%,"5,800","5,743",-1%,"2,986",-48%,970,"1,029",6%,392,-62%
High Country,Domestic day,"2,061",2075,1%,1018,-51%,-,-,-100%,-,-100%,237,218,-8%,97,-55%
High Country,Total,"4,026",4182,4%,1859,-56%,"6,286","6,052",-4%,"3,027",-50%,"1,233","1,269",3%,491,-61%
Hobart and the South,International,275,243,-12%,71,-71%,"3,316","2,356",-29%,826,-65%,379,366,-3%,107,-71%
Hobart and the South,Domestic overnight,"1,644",1747,6%,1015,-42%,"5,579","6,106",10%,"3,986",-35%,"1,416","1,523",8%,747,-51%
Hobart and the South,Domestic day,"2,636",3133,19%,2143,-32%,-,-,-100%,-,-100%,269,303,13%,213,-30%
Hobart and the South,Total,"4,555",5123,13%,3229,-37%,"8,895","8,462",-5%,"4,812",-43%,"2,065","2,193",6%,"1,067",-51%
Hunter,International,208,195,-6%,34,-83%,"3,137","2,544",-19%,480,-81%,211,215,2%,35,-84%
Hunter,Domestic overnight,"3,913",4621,18%,3077,-33%,"10,578","12,325",17%,"8,482",-31%,"1,754","2,104",20%,"1,530",-27%
Hunter,Domestic day,"6,967",8435,21%,5363,-36%,-,-,-100%,-,-100%,763,859,13%,561,-35%
Hunter,Total,"11,087",13251,20%,8474,-36%,"13,715","14,869",8%,"8,962",-40%,"2,728","3,177",17%,"2,127",-33%
Kangaroo Island,International,46,53,15%,NP,NP,106,141,34%,NP,NP,37,53,43%,NP,NP
Kangaroo Island,Domestic overnight,119,155,31%,143,-7%,399,564,41%,651,15%,75,121,61%,151,25%
Kangaroo Island,Domestic day,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Kangaroo Island,Total,206,326,58%,222,-32%,505,705,40%,672,-5%,116,191,64%,162,-15%
Katherine Daly,International,27,33,21%,NP,NP,273,244,-10%,NP,NP,11,10,-14%,NP,NP
Katherine Daly,Domestic overnight,334,280,-16%,217,-22%,"1,564","1,009",-36%,587,-42%,190,146,-23%,84,-42%
Katherine Daly,Domestic day,167,NP,NP,NP,NP,-,NP,NP,NP,NP,90,NP,NP,NP,NP
Katherine Daly,Total,527,502,-5%,363,-28%,"1,837","1,253",-32%,641,-49%,292,181,-38%,106,-41%
Lakes,International,49,46,-6%,NP,NP,253,239,-6%,NP,NP,6,12,99%,NP,NP
Lakes,Domestic overnight,820,829,1%,634,-24%,"2,594","2,652",2%,"2,182",-18%,289,290,0%,284,-2%
Lakes,Domestic day,624,733,17%,539,-26%,-,-,-100%,-,-100%,68,89,30%,73,-18%
Lakes,Total,"1,494",1608,8%,1179,-27%,"2,847","2,891",2%,"2,231",-23%,363,391,8%,359,-8%
Lasseter,International,180,167,-7%,27,-84%,570,501,-12%,99,-80%,198,183,-8%,26,-86%
Lasseter,Domestic overnight,206,283,37%,NP,NP,680,985,45%,NP,NP,298,356,19%,NP,NP
Lasseter,Domestic day,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
