Region,Market,Year ending December 2018,Year-ending-December-2019,2019 change,Year-ending-December-2020,2020 change,Year ending December 2018,Year ending December 2019,2019 change,Year ending December 2020,2020 change,Year ending December 2018,Year ending December 2019,2019 change,Year ending December 2020,2020 change
Not allocated to State/Territory,International,"1,026",1051,3%,334,-68%,-,-,-100%,-,-100%,"1,501","1,392",-7%,506,-64%
Not allocated to State/Territory,Domestic overnight,-,-,-100%,-,-100%,-,-,-100%,-,-100%,-,-,-100%,-,-100%
Not allocated to State/Territory,Domestic day,-,-,-100%,-,-100%,-,-,-100%,-,-100%,-,-,-100%,-,-100%
Not allocated to State/Territory,Total,"1,026",1051,3%,334,-68%,-,-,-100%,-,-100%,"1,501","1,392",-7%,506,-64%
Outback NSW,International,14,11,-18%,NP,NP,305,190,-38%,NP,NP,18,3,-82%,NP,NP
Outback NSW,Domestic overnight,532,662,24%,432,-35%,"2,240","2,067",-8%,"2,351",14%,192,390,103%,257,-34%
Outback NSW,Domestic day,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Outback NSW,Total,767,1054,37%,672,-36%,"2,544","2,257",-11%,"2,376",5%,236,446,89%,288,-35%
Outback Queensland,International,29,25,-15%,NP,NP,541,329,-39%,NP,NP,22,14,-37%,NP,NP
Outback Queensland,Domestic overnight,863,1080,25%,823,-24%,"4,791","5,876",23%,"4,311",-27%,606,745,23%,463,-38%
Outback Queensland,Domestic day,660,722,9%,539,-25%,-,-,-100%,-,-100%,57,139,146%,82,-41%
Outback Queensland,Total,"1,553",1827,18%,1367,-25%,"5,332","6,205",16%,"4,499",-28%,685,898,31%,553,-38%
Peninsula,International,61,73,19%,18,-75%,869,"1,146",32%,260,-77%,59,78,32%,16,-80%
Peninsula,Domestic overnight,"1,818",2085,15%,1269,-39%,"4,649","5,590",20%,"3,633",-35%,622,788,27%,457,-42%
Peninsula,Domestic day,"5,921",6363,8%,3312,-48%,-,-,-100%,-,-100%,452,508,12%,252,-50%
Peninsula,Total,"7,800",8521,9%,4599,-46%,"5,519","6,736",22%,"3,893",-42%,"1,134","1,375",21%,725,-47%
Phillip Island,International,62,57,-9%,15,-73%,194,149,-23%,82,-45%,23,26,11%,9,-65%
Phillip Island,Domestic overnight,930,1084,17%,585,-46%,"2,398","2,926",22%,"1,868",-36%,345,416,21%,198,-53%
Phillip Island,Domestic day,"1,280",1517,19%,826,-46%,-,-,-100%,-,-100%,120,137,14%,91,-34%
Phillip Island,Total,"2,273",2658,17%,1426,-46%,"2,592","3,074",19%,"1,950",-37%,488,578,19%,297,-49%
Riverina,International,23,25,5%,NP,NP,721,551,-24%,NP,NP,29,22,-26%,NP,NP
Riverina,Domestic overnight,"1,255",1231,-2%,811,-34%,"3,158","2,951",-7%,"2,731",-8%,513,455,-11%,348,-24%
Riverina,Domestic day,"1,636",1558,-5%,1372,-12%,-,-,-100%,-,-100%,264,232,-12%,257,11%
Riverina,Total,"2,914",2813,-4%,2189,-22%,"3,879","3,502",-10%,"2,991",-15%,805,709,-12%,617,-13%
Riverland,International,10,10,-4%,NP,NP,203,181,-11%,NP,NP,10,6,-40%,NP,NP
Riverland,Domestic overnight,368,420,14%,334,-20%,"1,062","1,132",7%,978,-14%,129,157,21%,119,-24%
Riverland,Domestic day,341,430,26%,390,-9%,-,-,-100%,-,-100%,35,33,-8%,24,-28%
Riverland,Total,719,859,20%,727,-15%,"1,265","1,313",4%,"1,060",-19%,175,195,12%,146,-25%
Snowy Mountains,International,23,27,17%,NP,NP,278,446,61%,NP,NP,17,20,20%,NP,NP
Snowy Mountains,Domestic overnight,"1,017",960,-6%,674,-30%,"3,419","2,872",-16%,"2,168",-25%,710,706,0%,535,-24%
Snowy Mountains,Domestic day,620,692,12%,557,-20%,-,-,-100%,-,-100%,60,75,24%,59,-22%
Snowy Mountains,Total,"1,661",1679,1%,1234,-27%,"3,696","3,318",-10%,"2,226",-33%,786,801,2%,595,-26%
South Coast,International,194,185,-5%,36,-80%,"2,647","2,582",-3%,654,-75%,269,265,-1%,53,-80%
South Coast,Domestic overnight,"4,143",4563,10%,3727,-18%,"12,901","15,274",18%,"11,952",-22%,"1,862","2,192",18%,"1,799",-18%
South Coast,Domestic day,"6,743",8046,19%,6049,-25%,-,-,-100%,-,-100%,608,800,32%,549,-32%
South Coast,Total,"11,080",12793,16%,9812,-23%,"15,548","17,856",15%,"12,606",-29%,"2,738","3,258",19%,"2,401",-26%
Southern Queensland Country,International,56,56,2%,10,-83%,"1,501","1,560",4%,281,-82%,58,93,61%,9,-90%
Southern Queensland Country,Domestic overnight,"2,154",2195,2%,1646,-25%,"5,729","5,901",3%,"4,718",-20%,766,810,6%,578,-29%
Southern Queensland Country,Domestic day,"4,127",4014,-3%,3155,-21%,-,-,-100%,-,-100%,607,477,-21%,398,-17%
Southern Queensland Country,Total,"6,337",6266,-1%,4811,-23%,"7,231","7,462",3%,"5,000",-33%,"1,430","1,380",-4%,985,-29%
Spa Country,International,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Spa Country,Domestic overnight,444,507,14%,195,-62%,"1,054","1,041",-1%,399,-62%,209,224,7%,120,-47%
Spa Country,Domestic day,734,865,18%,516,-40%,-,-,-100%,-,-100%,71,88,24%,44,-50%
Spa Country,Total,"1,185",1381,17%,713,-48%,"1,083","1,208",12%,407,-66%,282,314,11%,165,-48%
Sunshine Coast,International,311,330,6%,56,-83%,"2,778","2,842",2%,634,-78%,246,283,15%,58,-80%
Sunshine Coast,Domestic overnight,"3,622",4048,12%,3034,-25%,"12,763","14,540",14%,"10,527",-28%,"2,350","2,745",17%,"1,953",-29%
Sunshine Coast,Domestic day,"6,982",7897,13%,6286,-20%,-,-,-100%,-,-100%,670,704,5%,603,-14%
Sunshine Coast,Total,"10,915",12275,13%,9376,-24%,"15,541","17,382",12%,"11,161",-36%,"3,267","3,732",14%,"2,614",-30%
Sydney,International,"4,091",4106,0%,781,-81%,"81,284","82,111",1%,"20,775",-75%,"9,708","10,353",7%,"2,479",-76%
Sydney,Domestic overnight,"11,101",12655,14%,5623,-56%,"29,572","34,988",18%,"16,886",-52%,"8,829","9,392",6%,"3,324",-65%
Sydney,Domestic day,"22,569",28109,25%,19400,-31%,-,-,-100%,-,-100%,"2,564","3,069",20%,"1,740",-43%
Sydney,Total,"37,760",44870,19%,25803,-43%,"110,856","117,099",6%,"37,660",-68%,"21,102","22,814",8%,"7,542",-67%
The Murray,International,27,33,21%,NP,NP,321,454,41%,NP,NP,21,26,29%,NP,NP
The Murray,Domestic overnight,"1,178",1361,16%,722,-47%,"3,032","3,693",22%,"2,169",-41%,476,592,24%,319,-46%
The Murray,Domestic day,"1,483",1435,-3%,877,-39%,-,-,-100%,-,-100%,256,252,-2%,158,-37%
The Murray,Total,"2,687",2829,5%,1604,-43%,"3,354","4,147",24%,"2,220",-47%,752,870,16%,480,-45%
Total,International,"8,524",8709,2%,1705,-80%,"273,793","274,477",0%,"68,973",-75%,"43,918","45,380",3%,"11,040",-76%
Total,Domestic overnight,"104,822",117448,12%,72514,-38%,"371,528","417,907",13%,"275,404",-34%,"71,811","80,692",12%,"45,642",-43%
Total,Domestic day,"205,344",248349,21%,164192,-34%,-,-,-100%,-,-100%,"22,421","26,338",18%,"17,433",-34%
Total,Total,"318,690",374506,18%,238411,-36%,"645,321","692,384",7%,"344,377",-50%,"138,150","152,411",10%,"74,115",-51%
Townsville,International,136,126,-7%,23,-82%,"1,264","1,447",15%,239,-84%,66,96,46%,27,-71%
Townsville,Domestic overnight,"1,336",1297,-3%,797,-39%,"4,678","4,786",2%,"2,778",-42%,864,790,-9%,515,-35%
Townsville,Domestic day,"1,418",1557,10%,1195,-23%,-,-,-100%,-,-100%,171,236,38%,126,-47%
Townsville,Total,"2,890",2981,3%,2015,-32%,"5,941","6,233",5%,"3,016",-52%,"1,100","1,122",2%,669,-40%
Tropical North Queensland,International,863,808,-6%,133,-84%,"6,288","6,833",9%,"1,451",-79%,"1,071","1,028",-4%,181,-82%
Tropical North Queensland,Domestic overnight,"2,024",2218,10%,1448,-35%,"10,422","11,188",7%,"6,993",-38%,"2,351","2,508",7%,"1,445",-42%
Tropical North Queensland,Domestic day,"2,442",3271,34%,2355,-28%,-,-,-100%,-,-100%,438,428,-2%,280,-35%
Tropical North Queensland,Total,"5,329",6298,18%,3936,-38%,"16,710","18,021",8%,"8,444",-53%,"3,860","3,964",3%,"1,906",-52%
Upper Yarra,International,4,3,-18%,2,-41%,42,54,28%,48,-10%,4,1,-84%,2,172%
Upper Yarra,Domestic overnight,235,333,42%,145,-56%,575,700,22%,356,-49%,51,84,64%,28,-66%
Upper Yarra,Domestic day,831,768,-8%,505,-34%,-,-,-100%,-,-100%,64,55,-14%,32,-42%
Upper Yarra,Total,"1,069",1105,3%,652,-41%,617,753,22%,404,-46%,119,140,17%,62,-56%
West Coast,International,29,23,-23%,9,-61%,45,59,30%,15,-74%,30,4,-87%,5,17%
West Coast,Domestic overnight,155,209,35%,122,-42%,403,564,40%,587,4%,95,90,-5%,77,-14%
West Coast,Domestic day,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
West Coast,Total,239,343,44%,157,-54%,448,623,39%,603,-3%,130,100,-23%,83,-17%
Western Grampians,International,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Western Grampians,Domestic overnight,461,428,-7%,259,-40%,"1,107","1,097",-1%,616,-44%,151,118,-22%,119,1%
Western Grampians,Domestic day,657,565,-14%,430,-24%,-,-,-100%,-,-100%,68,77,13%,79,4%
Western Grampians,Total,"1,124",1000,-11%,692,-31%,"1,218","1,175",-4%,653,-44%,225,198,-12%,202,2%
Whitsundays,International,234,220,-6%,43,-80%,"1,294","1,369",6%,232,-83%,211,152,-28%,40,-74%
Whitsundays,Domestic overnight,640,631,-1%,532,-16%,"2,963","2,788",-6%,"2,124",-24%,734,543,-26%,631,16%
Whitsundays,Domestic day,NP,515,NP,NP,NP,NP,-,NP,NP,NP,NP,113,NP,NP,NP
Whitsundays,Total,"1,134",1367,21%,852,-38%,"4,257","4,158",-2%,"2,356",-43%,980,807,-18%,704,-13%
Wimmera,International,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Wimmera,Domestic overnight,292,259,-12%,148,-43%,941,499,-47%,453,-9%,69,110,60%,53,-52%
Wimmera,Domestic day,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Wimmera,Total,461,564,22%,341,-40%,953,538,-44%,472,-12%,81,146,80%,64,-56%
Yorke Peninsula,International,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Yorke Peninsula,Domestic overnight,500,586,17%,554,-5%,"1,397","1,773",27%,"1,848",4%,149,171,15%,161,-6%
Yorke Peninsula,Domestic day,592,791,34%,613,-23%,-,-,-100%,-,-100%,43,63,47%,49,-22%
Yorke Peninsula,Total,"1,100",1385,26%,1169,-16%,"1,470","1,817",24%,"1,863",3%,195,240,23%,211,-12%
