Region,Financial year,Gross value added ($M),Employed persons ('000),Gross value added share,Employed persons share
 Fraser Coast ,2018-19,227.00,3.2,6.70%,8.90%
 Fraser Coast ,2017-18,248.00,3.5,7.60%,10.10%
 Geelong and the Bellarine ,2019-20,383.00,7,2.80%,5.50%
 Geelong and the Bellarine ,2018-19,454.00,7.2,3.40%,5.80%
 Geelong and the Bellarine ,2017-18,409.00,6.9,3.30%,5.70%
 Gippsland ,2019-20,255.00,4.9,2.30%,5.20%
 Gippsland ,2018-19,294.00,5,2.70%,5.30%
 Gippsland ,2017-18,243.00,4.3,2.30%,4.70%
 Gladstone ,2019-20,116.00,1.7,2.00%,5.20%
 Gladstone ,2018-19,145.00,1.8,2.40%,5.50%
 Gladstone ,2017-18,169.00,2.2,3.00%,6.90%
 Gold Coast ,2019-20,1938.00,25.2,6.00%,8.70%
 Gold Coast ,2018-19,2548.00,29.7,7.80%,10.20%
 Gold Coast ,2017-18,2356.00,28,7.50%,9.80%
 Goulburn ,2019-20,126.00,2.8,2.30%,5.10%
 Goulburn ,2018-19,162.00,3.1,3.00%,5.90%
 Goulburn ,2017-18,137.00,2.8,2.70%,5.40%
 Great Ocean Road ,2019-20,459.00,9.8,6.60%,14.10%
 Great Ocean Road ,2018-19,532.00,9.8,7.80%,14.20%
 Great Ocean Road ,2017-18,499.00,9.9,7.70%,14.80%
 High Country ,2019-20,362.00,8.1,8.80%,18.60%
 High Country ,2018-19,531.00,10.1,13.10%,23.50%
 High Country ,2017-18,427.00,8.9,11.20%,21.30%
 Hobart and the South ,2019-20,743.00,10.3,4.60%,7.90%
 Hobart and the South ,2018-19,863.00,11.1,5.40%,8.50%
 Hobart and the South ,2017-18,770.00,10,5.10%,7.70%
 Hunter ,2019-20,963.00,14.5,2.30%,4.50%
 Hunter ,2018-19,1165.00,15.8,2.70%,4.90%
 Hunter ,2017-18,1189.00,16.2,2.90%,5.20%
 Kangaroo Island ,2019-20,67.00,1.1,27.30%,46.80%
 Kangaroo Island ,2018-19,61.00,0.9,25.50%,37.60%
 Kangaroo Island ,2017-18,58.00,0.9,26.00%,37.20%
 Katherine Daly ,2019-20,62.00,0.9,3.10%,9.10%
 Katherine Daly ,2018-19,81.00,0.9,4.40%,9.80%
 Katherine Daly ,2017-18,83.00,1,5.10%,9.80%
 Lakes ,2019-20,147.00,4,8.40%,20.20%
 Lakes ,2018-19,149.00,3.4,8.70%,17.50%
 Lakes ,2017-18,146.00,3.6,9.00%,19.20%
 Lasseter ,2019-20,141.00,0.5,116.50%,36.30%
 Lasseter ,2018-19,161.00,0.6,119.10%,37.60%
